census_geoid,fp_100_cost_burden,fp_500_cost_burden,fp_100_cost_burden_value,fp_500_cost_burden_value,fp_100_rent_burden,fp_500_rent_burden,fp_100_rent_burden_value,fp_500_rent_burden_value,fp_100_mhhi,fp_500_mhhi,fp_100_permortg,fp_500_permortg,fp_100_mortg_value,fp_500_mortg_value,fp_100_ownerocc,fp_500_ownerocc,fp_100_ownerocc_value,fp_500_ownerocc_value,fp_100_pop,fp_500_pop
101,28.3,28.3,1603.0,1968.0,31.9,31.7,5481.0,6163.0,178707.0,178430.0,66.6,64.4,3775.0,4481.0,20.2,21.7,5664.0,6959.0,16733.0,29865.0
102,25.7,25.5,638.0,902.0,33.9,39.7,1234.0,2164.0,149113.0,135020.0,54.2,54.6,1346.0,1931.0,33.2,32.1,2482.0,3537.0,5038.0,10198.0
103,16.5,17.2,343.0,493.0,48.1,47.5,8547.0,11735.0,27269.0,29793.0,36.1,40.1,749.0,1147.0,10.0,9.9,2076.0,2859.0,32294.0,47273.0
104,26.0,24.5,429.0,503.0,40.9,42.1,5996.0,6944.0,112455.0,107978.0,51.6,54.9,852.0,1125.0,8.5,9.3,1652.0,2049.0,2957.0,9609.0
106,17.5,17.0,294.0,340.0,43.1,45.5,3636.0,5233.0,126784.0,119382.0,39.1,41.2,658.0,823.0,14.6,13.0,1683.0,1997.0,9455.0,14820.0
107,18.2,18.8,631.0,654.0,42.0,40.5,2439.0,2649.0,130809.0,133462.0,53.9,53.6,1865.0,1865.0,31.3,29.4,3458.0,3481.0,1436.0,1436.0
108,29.0,25.1,830.0,894.0,45.8,45.9,5010.0,5415.0,95578.0,98100.0,52.5,53.9,1505.0,1918.0,18.2,20.3,2866.0,3557.0,7223.0,10647.0
109,13.4,13.4,122.0,122.0,53.2,53.2,3528.0,3528.0,48976.0,48976.0,55.1,55.1,501.0,501.0,11.4,11.4,910.0,910.0,0.0,0.0
110,19.9,18.8,110.0,130.0,42.5,47.3,1628.0,2766.0,41128.0,38027.0,16.4,28.3,91.0,196.0,12.1,10.1,554.0,693.0,2372.0,7880.0
111,12.2,13.7,149.0,241.0,45.8,46.2,8842.0,12541.0,36712.0,33720.0,30.1,37.5,368.0,660.0,5.5,5.7,1223.0,1759.0,32448.0,56674.0
112,18.7,16.8,165.0,176.0,49.6,48.5,1561.0,3241.0,51113.0,49496.0,50.5,42.6,445.0,445.0,20.4,12.9,882.0,1045.0,397.0,11674.0
201,31.5,29.1,41.0,41.0,56.8,58.9,1209.0,1861.0,29666.0,22661.0,45.4,41.8,59.0,59.0,5.4,4.1,130.0,141.0,580.0,1412.0
202,59.0,59.0,36.0,36.0,62.1,62.1,769.0,769.0,22359.0,22359.0,59.0,59.0,36.0,36.0,4.2,4.2,61.0,61.0,848.0,848.0
204,47.5,47.5,58.0,58.0,58.6,58.6,1248.0,1248.0,29832.0,29832.0,48.4,48.4,59.0,59.0,5.1,5.1,122.0,122.0,0.0,0.0
205,,,0.0,0.0,66.3,66.3,2086.0,2086.0,30874.0,30874.0,72.2,72.2,39.0,39.0,1.6,1.6,54.0,54.0,4048.0,4048.0
206,29.0,50.0,9.0,22.0,69.8,51.1,247.0,775.0,34012.0,28711.0,9.7,18.2,3.0,8.0,7.3,2.7,31.0,44.0,0.0,158.0
207,,,0.0,0.0,51.3,51.3,1073.0,1073.0,19445.0,19445.0,,,0.0,0.0,0.9,0.9,20.0,20.0,0.0,0.0
208,8.1,8.6,57.0,83.0,61.7,60.2,1310.0,1598.0,44865.0,45247.0,50.8,40.4,356.0,391.0,23.5,25.5,701.0,969.0,36.0,41.0
209,42.9,46.0,955.0,1910.0,55.0,56.8,1484.0,6568.0,58962.0,43416.0,79.9,72.1,1778.0,2994.0,41.7,24.6,2226.0,4150.0,654.0,21148.0
210,28.7,22.4,2356.0,3008.0,41.9,41.7,2885.0,5496.0,70657.0,62573.0,53.3,46.2,4372.0,6223.0,51.9,48.5,8195.0,13456.0,11248.0,28958.0
211,28.4,47.3,27.0,232.0,50.3,51.2,296.0,366.0,56373.0,61500.0,55.8,44.7,53.0,219.0,13.4,39.8,95.0,490.0,296.0,2365.0
212,34.6,40.1,405.0,617.0,49.4,43.8,1149.0,1409.0,45648.0,43169.0,58.0,58.5,678.0,899.0,31.9,31.2,1169.0,1538.0,40.0,1157.0
227,52.6,52.6,10.0,10.0,,,0.0,0.0,73749.0,73749.0,100.0,100.0,19.0,19.0,100.0,100.0,19.0,19.0,0.0,0.0
228,,,0.0,0.0,13.4,13.4,22.0,22.0,50116.0,50116.0,32.4,32.4,100.0,100.0,65.3,65.3,309.0,309.0,432.0,432.0
301,36.1,36.8,965.0,1813.0,41.7,46.2,4043.0,9514.0,114784.0,91962.0,68.0,64.3,1816.0,3167.0,19.6,17.9,2672.0,4925.0,3397.0,21206.0
302,22.4,25.0,417.0,510.0,31.7,37.3,604.0,1225.0,181747.0,124419.0,73.4,72.1,1369.0,1471.0,43.7,34.3,1865.0,2039.0,790.0,1919.0
305,39.1,48.7,156.0,721.0,58.4,56.5,1505.0,3733.0,31507.0,35866.0,94.7,82.8,378.0,1226.0,12.7,16.7,399.0,1481.0,0.0,2526.0
306,25.1,27.2,533.0,788.0,39.8,39.2,2747.0,3422.0,61357.0,67972.0,70.6,70.6,1498.0,2041.0,21.5,23.1,2123.0,2892.0,6940.0,14848.0
307,73.4,47.6,47.0,118.0,65.3,61.8,194.0,515.0,39422.0,55816.0,73.4,66.5,47.0,165.0,15.7,22.0,64.0,248.0,67.0,2363.0
310,29.1,29.1,973.0,973.0,45.6,45.6,1841.0,1841.0,76255.0,76255.0,52.2,52.2,1742.0,1742.0,39.9,39.9,3338.0,3338.0,0.0,12.0
311,46.6,45.2,1524.0,1775.0,53.1,52.9,2455.0,3417.0,56345.0,54121.0,54.2,51.2,1772.0,2010.0,39.9,36.1,3272.0,3924.0,5068.0,16323.0
313,31.6,32.7,4024.0,4434.0,57.1,57.2,17031.0,18756.0,38164.0,37989.0,43.5,44.3,5531.0,6008.0,27.4,26.9,12728.0,13577.0,84613.0,103452.0
315,34.2,33.9,3580.0,7219.0,51.0,51.6,4739.0,10540.0,66256.0,62401.0,50.5,48.0,5278.0,10220.0,48.2,47.3,10461.0,21294.0,36291.0,82392.0
318,48.5,46.2,6380.0,10696.0,51.1,48.8,3960.0,8521.0,79843.0,74851.0,73.3,73.5,9649.0,17032.0,58.4,53.4,13157.0,23174.0,30892.0,77004.0
356,47.4,47.2,423.0,423.0,47.4,47.3,1190.0,1190.0,40976.0,41062.0,82.3,82.4,735.0,739.0,25.3,25.4,893.0,897.0,0.0,0.0
401,42.0,39.6,442.0,810.0,51.6,51.2,1999.0,3723.0,55135.0,52776.0,54.0,46.0,569.0,942.0,17.8,18.1,1053.0,2048.0,3806.0,10550.0
402,33.0,30.7,611.0,637.0,35.2,34.6,2152.0,2400.0,139342.0,133396.0,71.7,69.7,1329.0,1446.0,16.6,16.8,1853.0,2076.0,5875.0,9466.0
403,,47.3,0.0,292.0,,59.6,0.0,626.0,0.0,60093.0,,61.1,0.0,377.0,,30.9,0.0,617.0,0.0,0.0
405,54.0,32.9,75.0,83.0,56.7,58.9,157.0,282.0,55769.0,59666.0,75.5,62.3,105.0,157.0,30.0,32.3,139.0,252.0,0.0,3.0
406,,25.0,0.0,161.0,,51.0,0.0,667.0,0.0,53355.0,,54.6,0.0,351.0,,31.2,0.0,643.0,0.0,1132.0
407,33.5,35.8,3227.0,3768.0,49.1,52.5,2655.0,4113.0,71666.0,66914.0,50.6,49.6,4870.0,5220.0,56.0,49.9,9623.0,10532.0,5868.0,11387.0
408,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
410,37.6,37.8,2047.0,2202.0,45.9,50.1,1157.0,1569.0,79141.0,75840.0,52.7,53.9,2870.0,3140.0,63.4,60.4,5442.0,5823.0,11919.0,20737.0
411,38.1,40.8,700.0,861.0,51.0,51.0,426.0,426.0,85714.0,89056.0,44.5,47.2,817.0,995.0,64.1,67.2,1837.0,2109.0,1285.0,1477.0
412,42.1,42.1,165.0,165.0,52.2,52.2,96.0,96.0,72580.0,72580.0,69.9,69.9,274.0,274.0,63.1,63.1,392.0,392.0,0.0,0.0
413,46.9,48.9,1265.0,2028.0,42.1,44.8,888.0,1455.0,88246.0,86007.0,77.0,76.5,2079.0,3173.0,51.5,52.1,2699.0,4148.0,2686.0,12284.0
414,36.1,36.1,5252.0,5346.0,50.9,49.4,10878.0,11817.0,54781.0,53822.0,63.5,63.6,9249.0,9423.0,35.8,34.0,14561.0,14821.0,75307.0,89752.0
480,46.4,46.4,168.0,168.0,69.7,69.7,207.0,207.0,68227.0,68227.0,56.1,56.1,203.0,203.0,42.9,42.9,362.0,362.0,0.0,0.0
481,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,21.0,21.0
483,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
484,25.5,25.5,420.0,420.0,8.4,8.4,31.0,31.0,102197.0,102197.0,55.2,55.2,910.0,910.0,60.8,60.8,1650.0,1650.0,45.0,45.0
501,33.3,34.4,1704.0,2798.0,53.4,54.9,3071.0,4460.0,49106.0,54606.0,76.1,78.7,3896.0,6399.0,41.0,44.2,5118.0,8130.0,2280.0,4856.0
502,38.8,40.8,4513.0,6159.0,49.4,49.6,2597.0,3459.0,75074.0,75263.0,68.0,68.5,7918.0,10334.0,63.6,63.4,11636.0,15091.0,20855.0,30173.0
503,37.6,39.0,5644.0,7268.0,50.9,51.4,1582.0,2139.0,93279.0,91603.0,70.3,71.5,10554.0,13315.0,78.4,77.7,15003.0,18633.0,8473.0,14274.0
595,45.2,45.2,2007.0,2007.0,45.7,44.5,758.0,775.0,72642.0,73215.0,68.2,68.2,3032.0,3032.0,65.4,64.6,4445.0,4445.0,0.0,31.0
203,,47.5,,29.0,,61.4,,452.0,,35551.0,,73.8,,45.0,,7.4,,61.0,,14.0
303,,20.5,,9.0,,42.7,,90.0,,81368.0,,43.2,,19.0,,15.2,,44.0,,0.0
404,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0
